-1.728, -1.291, 3.113, 0.000, 0.848, 0.996
-1.594, -1.266, 3.054, 0.000, 0.906, 0.996
-1.474, -1.247, 3.009, 0.000, 0.953, 0.996
-1.355, -1.226, 2.957, 0.000, 0.996, 0.980
-1.292, -1.252, 3.021, 0.000, 0.941, 0.996
-1.178, -1.228, 2.963, 0.000, 0.996, 0.988
-1.084, -1.221, 2.945, 0.000, 0.996, 0.969
-0.994, -1.214, 2.928, 0.000, 0.996, 0.953
-0.731, -0.975, 2.352, 0.000, 0.996, 0.375
-0.810, -1.186, 2.862, 0.000, 0.996, 0.887
-0.732, -1.187, 2.863, 0.000, 0.996, 0.887
-0.516, -0.937, 2.260, 0.000, 0.996, 0.281
-0.566, -1.164, 2.808, 0.000, 0.996, 0.832
-0.491, -1.163, 2.805, 0.000, 0.996, 0.828
-0.411, -1.148, 2.768, 0.000, 0.996, 0.793
-0.341, -1.155, 2.785, 0.000, 0.996, 0.809
-0.262, -1.126, 2.717, 0.000, 0.996, 0.742
-0.194, -1.135, 2.738, 0.000, 0.996, 0.762
-0.121, -1.114, 2.687, 0.000, 0.996, 0.711
-0.042, -0.896, 2.162, 0.000, 0.996, 0.184
0.017, -1.112, 2.681, 0.000, 0.996, 0.703
0.074, -0.952, 2.295, 0.000, 0.996, 0.316
0.133, -0.952, 2.295, 0.000, 0.996, 0.316
0.192, -0.955, 2.302, 0.000, 0.996, 0.324
0.293, -1.110, 2.677, 0.000, 0.996, 0.699
0.358, -1.095, 2.641, 0.000, 0.996, 0.664
0.429, -1.099, 2.651, 0.000, 0.996, 0.676
0.490, -1.080, 2.606, 0.000, 0.996, 0.629
0.557, -1.075, 2.594, 0.000, 0.996, 0.617
0.625, -1.072, 2.585, 0.000, 0.996, 0.609
0.699, -1.077, 2.598, 0.000, 0.996, 0.621
0.756, -1.055, 2.545, 0.000, 0.996, 0.566
0.834, -1.064, 2.566, 0.000, 0.996, 0.590
0.892, -1.045, 2.521, 0.000, 0.996, 0.543
0.979, -1.060, 2.557, 0.000, 0.996, 0.582
1.051, -1.057, 2.548, 0.000, 0.996, 0.570
1.128, -1.056, 2.547, 0.000, 0.996, 0.570
1.201, -1.050, 2.534, 0.000, 0.996, 0.555
1.281, -1.050, 2.532, 0.000, 0.996, 0.555
1.357, -1.045, 2.520, 0.000, 0.996, 0.543
-1.704, -1.225, 3.071, 0.000, 0.891, 0.996
-1.585, -1.211, 3.036, 0.000, 0.926, 0.996
-1.473, -1.201, 3.009, 0.000, 0.953, 0.996
-1.357, -1.182, 2.962, 0.000, 0.996, 0.988
-1.288, -1.202, 3.012, 0.000, 0.949, 0.996
-1.173, -1.177, 2.950, 0.000, 0.996, 0.977
-1.075, -1.165, 2.920, 0.000, 0.996, 0.945
-0.986, -1.160, 2.906, 0.000, 0.996, 0.934
-0.751, -0.963, 2.414, 0.000, 0.996, 0.438
-0.818, -1.153, 2.889, 0.000, 0.996, 0.914
-0.736, -1.150, 2.882, 0.000, 0.996, 0.906
-0.513, -0.896, 2.245, 0.000, 0.996, 0.266
-0.565, -1.119, 2.804, 0.000, 0.996, 0.828
-0.488, -1.112, 2.787, 0.000, 0.996, 0.812
-0.418, -1.123, 2.814, 0.000, 0.996, 0.840
-0.335, -1.093, 2.739, 0.000, 0.996, 0.762
-0.264, -1.093, 2.739, 0.000, 0.996, 0.762
-0.193, -1.092, 2.736, 0.000, 0.996, 0.762
-0.121, -1.078, 2.702, 0.000, 0.996, 0.727
-0.041, -0.852, 2.136, 0.000, 0.996, 0.156
0.017, -1.052, 2.635, 0.000, 0.996, 0.660
0.074, -0.925, 2.318, 0.000, 0.996, 0.340
0.134, -0.925, 2.318, 0.000, 0.996, 0.340
0.190, -0.905, 2.268, 0.000, 0.996, 0.289
