-1.371, -1.024, 2.470, 0.000, 0.996, 0.465
-1.297, -1.030, 2.484, 0.000, 0.996, 0.480
-1.192, -1.009, 2.434, 0.000, 0.996, 0.430
-1.141, -1.032, 2.490, 0.000, 0.996, 0.484
-1.078, -1.045, 2.521, 0.000, 0.996, 0.516
-1.010, -1.053, 2.540, 0.000, 0.996, 0.535
-0.950, -1.069, 2.580, 0.000, 0.996, 0.574
-0.891, -1.089, 2.626, 0.000, 0.996, 0.621
-0.803, -1.071, 2.583, 0.000, 0.996, 0.578
-0.734, -1.076, 2.595, 0.000, 0.996, 0.590
-0.683, -1.109, 2.674, 0.000, 0.996, 0.668
-0.609, -1.107, 2.669, 0.000, 0.996, 0.664
-0.546, -1.123, 2.708, 0.000, 0.996, 0.703
-0.463, -1.098, 2.648, 0.000, 0.996, 0.645
-0.409, -1.142, 2.754, 0.000, 0.996, 0.750
-0.335, -1.134, 2.736, 0.000, 0.996, 0.730
-0.271, -1.165, 2.810, 0.000, 0.996, 0.805
-0.199, -1.166, 2.813, 0.000, 0.996, 0.809
-0.128, -1.186, 2.860, 0.000, 0.996, 0.855
-0.055, -1.183, 2.853, 0.000, 0.996, 0.848
0.019, -1.204, 2.903, 0.000, 0.996, 0.898
0.094, -1.213, 2.927, 0.000, 0.996, 0.922
0.169, -1.214, 2.929, 0.000, 0.996, 0.922
0.246, -1.218, 2.938, 0.000, 0.996, 0.934
0.326, -1.236, 2.981, 0.000, 0.996, 0.977
0.408, -1.248, 3.011, 0.000, 0.984, 0.996
0.496, -1.272, 3.068, 0.000, 0.926, 0.996
0.574, -1.265, 3.051, 0.000, 0.945, 0.996
0.663, -1.280, 3.087, 0.000, 0.906, 0.996
0.641, -1.099, 2.650, 0.000, 0.996, 0.645
0.689, -1.061, 2.560, 0.000, 0.996, 0.555
0.734, -1.025, 2.472, 0.000, 0.996, 0.469
0.777, -0.990, 2.389, 0.000, 0.996, 0.387
0.815, -0.956, 2.305, 0.000, 0.996, 0.301
0.857, -0.928, 2.239, 0.000, 0.996, 0.234
0.890, -0.895, 2.158, 0.000, 0.996, 0.156
0.932, -0.873, 2.105, 0.000, 0.996, 0.102
0.957, -0.837, 2.019, 0.000, 0.996, 0.016
0.994, -0.815, 1.966, 0.031, 0.996, 0.000
1.020, -0.785, 1.894, 0.105, 0.996, 0.000
-1.388, -0.998, 2.501, 0.000, 0.996, 0.496
-1.311, -1.003, 2.513, 0.000, 0.996, 0.508
-1.223, -0.996, 2.496, 0.000, 0.996, 0.492
-1.152, -1.003, 2.513, 0.000, 0.996, 0.508
-1.088, -1.016, 2.545, 0.000, 0.996, 0.539
-1.014, -1.018, 2.551, 0.000, 0.996, 0.547
-0.946, -1.026, 2.570, 0.000, 0.996, 0.566
-0.881, -1.037, 2.598, 0.000, 0.996, 0.594
-0.818, -1.050, 2.632, 0.000, 0.996, 0.629
-0.747, -1.054, 2.640, 0.000, 0.996, 0.637
-0.675, -1.054, 2.642, 0.000, 0.996, 0.637
-0.615, -1.075, 2.694, 0.000, 0.996, 0.691
-0.543, -1.076, 2.696, 0.000, 0.996, 0.691
-0.479, -1.094, 2.741, 0.000, 0.996, 0.734
-0.407, -1.093, 2.740, 0.000, 0.996, 0.734
-0.339, -1.105, 2.769, 0.000, 0.996, 0.766
-0.274, -1.131, 2.834, 0.000, 0.996, 0.828
-0.201, -1.135, 2.844, 0.000, 0.996, 0.840
-0.129, -1.144, 2.866, 0.000, 0.996, 0.859
-0.055, -1.147, 2.875, 0.000, 0.996, 0.871
0.018, -1.150, 2.882, 0.000, 0.996, 0.875
0.094, -1.172, 2.937, 0.000, 0.996, 0.934
0.173, -1.193, 2.989, 0.000, 0.996, 0.984
0.249, -1.189, 2.978, 0.000, 0.996, 0.973
0.329, -1.200, 3.006, 0.000, 0.988, 0.996
0.414, -1.219, 3.055, 0.000, 0.938, 0.996
0.492, -1.213, 3.040, 0.000, 0.953, 0.996
0.586, -1.242, 3.112, 0.000, 0.883, 0.996
0.680, -1.262, 3.162, 0.000, 0.832, 0.996
0.640, -1.056, 2.647, 0.000, 0.996, 0.645
0.692, -1.026, 2.571, 0.000, 0.996, 0.566
0.735, -0.987, 2.474, 0.000, 0.996, 0.469
0.778, -0.955, 2.394, 0.000, 0.996, 0.391
0.814, -0.918, 2.301, 0.000, 0.996, 0.297
0.851, -0.887, 2.224, 0.000, 0.996, 0.223
0.903, -0.874, 2.190, 0.000, 0.996, 0.188
0.931, -0.839, 2.103, 0.000, 0.996, 0.102
0.968, -0.815, 2.043, 0.000, 0.996, 0.039
0.991, -0.782, 1.960, 0.039, 0.996, 0.000
1.025, -0.760, 1.904, 0.094, 0.996, 0.000
-1.392, -0.962, 2.508, 0.000, 0.996, 0.504
-1.283, -0.943, 2.459, 0.000, 0.996, 0.457
-1.236, -0.968, 2.523, 0.000, 0.996, 0.520
-1.144, -0.957, 2.495, 0.000, 0.996, 0.492
-1.082, -0.971, 2.531, 0.000, 0.996, 0.527
-1.038, -1.002, 2.611, 0.000, 0.996, 0.605
-0.962, -1.003, 2.614, 0.000, 0.996, 0.609
-0.881, -0.996, 2.595, 0.000, 0.996, 0.590
-0.811, -1.001, 2.609, 0.000, 0.996, 0.605
-0.745, -1.010, 2.632, 0.000, 0.996, 0.629
-0.679, -1.020, 2.659, 0.000, 0.996, 0.652
-0.613, -1.030, 2.686, 0.000, 0.996, 0.680
-0.549, -1.045, 2.723, 0.000, 0.996, 0.719
-0.479, -1.051, 2.739, 0.000, 0.996, 0.734
-0.407, -1.052, 2.741, 0.000, 0.996, 0.734
-0.347, -1.087, 2.834, 0.000, 0.996, 0.828
-0.272, -1.083, 2.823, 0.000, 0.996, 0.816
-0.203, -1.103, 2.874, 0.000, 0.996, 0.867
-0.129, -1.103, 2.875, 0.000, 0.996, 0.871
-0.056, -1.117, 2.911, 0.000, 0.996, 0.906
0.019, -1.138, 2.967, 0.000, 0.996, 0.961
0.095, -1.140, 2.972, 0.000, 0.996, 0.965
0.172, -1.145, 2.984, 0.000, 0.996, 0.977
0.251, -1.151, 2.999, 0.000, 0.996, 0.992
0.329, -1.153, 3.005, 0.000, 0.988, 0.996
0.416, -1.177, 3.069, 0.000, 0.926, 0.996
0.501, -1.188, 3.097, 0.000, 0.898, 0.996
0.595, -1.213, 3.161, 0.000, 0.832, 0.996
0.679, -1.212, 3.159, 0.000, 0.836, 0.996
0.645, -1.023, 2.667, 0.000, 0.996, 0.664
0.695, -0.990, 2.581, 0.000, 0.996, 0.578
0.733, -0.947, 2.468, 0.000, 0.996, 0.465
0.779, -0.919, 2.396, 0.000, 0.996, 0.391
0.819, -0.889, 2.316, 0.000, 0.996, 0.312
0.858, -0.860, 2.242, 0.000, 0.996, 0.238
0.890, -0.828, 2.158, 0.000, 0.996, 0.156
0.922, -0.799, 2.082, 0.000, 0.996, 0.078
0.961, -0.778, 2.028, 0.000, 0.996, 0.027
0.988, -0.750, 1.954, 0.043, 0.996, 0.000
1.027, -0.732, 1.907, 0.090, 0.996, 0.000
-1.408, -0.935, 2.537, 0.000, 0.996, 0.531
-1.318, -0.930, 2.525, 0.000, 0.996, 0.520
-1.243, -0.935, 2.537, 0.000, 0.996, 0.531
-1.161, -0.933, 2.532, 0.000, 0.996, 0.527
-1.103, -0.951, 2.580, 0.000, 0.996, 0.574
-1.048, -0.971, 2.636, 0.000, 0.996, 0.633
-0.960, -0.961, 2.608, 0.000, 0.996, 0.602
-0.892, -0.969, 2.630, 0.000, 0.996, 0.625
-0.832, -0.986, 2.677, 0.000, 0.996, 0.672
-0.755, -0.983, 2.668, 0.000, 0.996, 0.664
-0.697, -1.005, 2.727, 0.000, 0.996, 0.723
-0.616, -0.995, 2.700, 0.000, 0.996, 0.695
-0.558, -1.020, 2.767, 0.000, 0.996, 0.762
-0.486, -1.023, 2.776, 0.000, 0.996, 0.770
-0.422, -1.047, 2.842, 0.000, 0.996, 0.836
-0.346, -1.041, 2.826, 0.000, 0.996, 0.820
-0.271, -1.034, 2.806, 0.000, 0.996, 0.801
-0.202, -1.053, 2.858, 0.000, 0.996, 0.852
-0.130, -1.064, 2.888, 0.000, 0.996, 0.883
-0.057, -1.091, 2.960, 0.000, 0.996, 0.953
0.019, -1.103, 2.994, 0.000, 0.996, 0.988
0.097, -1.112, 3.017, 0.000, 0.977, 0.996
0.172, -1.099, 2.983, 0.000, 0.996, 0.977
0.254, -1.121, 3.042, 0.000, 0.953, 0.996
0.337, -1.134, 3.079, 0.000, 0.914, 0.996
0.420, -1.141, 3.097, 0.000, 0.898, 0.996
0.504, -1.148, 3.117, 0.000, 0.879, 0.996
0.597, -1.170, 3.174, 0.000, 0.820, 0.996
0.592, -1.016, 2.757, 0.000, 0.996, 0.754
0.640, -0.975, 2.646, 0.000, 0.996, 0.641
0.692, -0.947, 2.569, 0.000, 0.996, 0.566
0.724, -0.899, 2.440, 0.000, 0.996, 0.438
0.775, -0.878, 2.383, 0.000, 0.996, 0.379
0.811, -0.845, 2.294, 0.000, 0.996, 0.293
0.847, -0.815, 2.213, 0.000, 0.996, 0.211
0.892, -0.797, 2.163, 0.000, 0.996, 0.160
0.928, -0.772, 2.096, 0.000, 0.996, 0.094
0.959, -0.745, 2.023, 0.000, 0.996, 0.020
0.994, -0.724, 1.966, 0.031, 0.996, 0.000
1.032, -0.706, 1.917, 0.082, 0.996, 0.000
-1.400, -0.891, 2.522, 0.000, 0.996, 0.520
-1.352, -0.915, 2.589, 0.000, 0.996, 0.586
-1.253, -0.904, 2.558, 0.000, 0.996, 0.555
-1.183, -0.912, 2.581, 0.000, 0.996, 0.578
-1.106, -0.914, 2.585, 0.000, 0.996, 0.582
-1.031, -0.917, 2.593, 0.000, 0.996, 0.590
-0.976, -0.936, 2.650, 0.000, 0.996, 0.645
-0.889, -0.926, 2.620, 0.000, 0.996, 0.617
-0.824, -0.936, 2.649, 0.000, 0.996, 0.645
-0.755, -0.943, 2.667, 0.000, 0.996, 0.664
-0.698, -0.966, 2.732, 0.000, 0.996, 0.727
-0.621, -0.962, 2.721, 0.000, 0.996, 0.715
-0.565, -0.991, 2.804, 0.000, 0.996, 0.801
-0.483, -0.977, 2.764, 0.000, 0.996, 0.758
